lon,lat,label
152.26692,-23.066532,455688
152.33359,-23.066532,455689
152.40027,-23.066532,455690
152.46693,-23.066532,455691
151.20026,-22.999865,456798
151.26692,-22.999865,456799
151.33359,-22.999865,456800
151.40025,-22.999865,456801
151.46692,-22.999865,456802
151.53358,-22.999865,456803
151.60027,-22.999865,456804
151.66693,-22.999865,456805
151.7336,-22.999865,456806
151.80026,-22.999865,456807
151.86693,-22.999865,456808
151.9336,-22.999865,456809
152.00026,-22.999865,456810
152.06693,-22.999865,456811
152.13359,-22.999865,456812
152.20026,-22.999865,456813
152.26692,-22.999865,456814
152.33359,-22.999865,456815
152.40027,-22.999865,456816
151.20026,-22.933199,457924
151.26692,-22.933199,457925
151.33359,-22.933199,457926
151.40025,-22.933199,457927
151.46692,-22.933199,457928
151.53358,-22.933199,457929
151.60027,-22.933199,457930
151.66693,-22.933199,457931
151.7336,-22.933199,457932
151.80026,-22.933199,457933
151.86693,-22.933199,457934
151.9336,-22.933199,457935
152.00026,-22.933199,457936
152.06693,-22.933199,457937
152.13359,-22.933199,457938
152.20026,-22.933199,457939
152.26692,-22.933199,457940
152.33359,-22.933199,457941
152.40027,-22.933199,457942
151.20026,-22.866531,459050
151.26692,-22.866531,459051
151.33359,-22.866531,459052
151.40025,-22.866531,459053
151.46692,-22.866531,459054
151.53358,-22.866531,459055
151.60027,-22.866531,459056
151.66693,-22.866531,459057
151.7336,-22.866531,459058
151.80026,-22.866531,459059
151.86693,-22.866531,459060
151.9336,-22.866531,459061
152.00026,-22.866531,459062
152.06693,-22.866531,459063
152.13359,-22.866531,459064
152.20026,-22.866531,459065
152.26692,-22.866531,459066
152.33359,-22.866531,459067
151.13359,-22.799864,460175
151.20026,-22.799864,460176
151.26692,-22.799864,460177
151.33359,-22.799864,460178
151.40025,-22.799864,460179
151.46692,-22.799864,460180
151.53358,-22.799864,460181
151.60027,-22.799864,460182
151.66693,-22.799864,460183
151.7336,-22.799864,460184
151.80026,-22.799864,460185
151.86693,-22.799864,460186
151.9336,-22.799864,460187
152.00026,-22.799864,460188
152.06693,-22.799864,460189
152.13359,-22.799864,460190
152.20026,-22.799864,460191
152.26692,-22.799864,460192
152.33359,-22.799864,460193
151.13359,-22.733196,461301
151.20026,-22.733196,461302
151.26692,-22.733196,461303
151.33359,-22.733196,461304
151.40025,-22.733196,461305
151.46692,-22.733196,461306
151.53358,-22.733196,461307
151.60027,-22.733196,461308
151.66693,-22.733196,461309
151.7336,-22.733196,461310
151.80026,-22.733196,461311
151.86693,-22.733196,461312
151.9336,-22.733196,461313
152.00026,-22.733196,461314
152.06693,-22.733196,461315
152.13359,-22.733196,461316
152.20026,-22.733196,461317
152.26692,-22.733196,461318
151.06693,-22.66653,462426
151.13359,-22.66653,462427
151.20026,-22.66653,462428
151.26692,-22.66653,462429
151.33359,-22.66653,462430
151.40025,-22.66653,462431
151.46692,-22.66653,462432
151.53358,-22.66653,462433
151.60027,-22.66653,462434
151.66693,-22.66653,462435
151.7336,-22.66653,462436
151.80026,-22.66653,462437
151.86693,-22.66653,462438
151.9336,-22.66653,462439
152.00026,-22.66653,462440
152.06693,-22.66653,462441
152.13359,-22.66653,462442
152.20026,-22.66653,462443
151.06693,-22.599863,463552
151.13359,-22.599863,463553
151.20026,-22.599863,463554
151.26692,-22.599863,463555
151.33359,-22.599863,463556
151.40025,-22.599863,463557
151.46692,-22.599863,463558
151.53358,-22.599863,463559
151.60027,-22.599863,463560
151.66693,-22.599863,463561
151.7336,-22.599863,463562
151.80026,-22.599863,463563
151.86693,-22.599863,463564
151.9336,-22.599863,463565
152.00026,-22.599863,463566
152.06693,-22.599863,463567
152.13359,-22.599863,463568
152.20026,-22.599863,463569
151.06693,-22.533195,464678
151.13359,-22.533195,464679
151.20026,-22.533195,464680
151.26692,-22.533195,464681
151.33359,-22.533195,464682
151.40025,-22.533195,464683
151.46692,-22.533195,464684
151.53358,-22.533195,464685
151.60027,-22.533195,464686
151.66693,-22.533195,464687
151.7336,-22.533195,464688
151.80026,-22.533195,464689
151.86693,-22.533195,464690
151.9336,-22.533195,464691
152.00026,-22.533195,464692
152.06693,-22.533195,464693
152.13359,-22.533195,464694
151.00026,-22.46653,465803
151.06693,-22.46653,465804
151.13359,-22.46653,465805
151.20026,-22.46653,465806
151.26692,-22.46653,465807
151.33359,-22.46653,465808
151.40025,-22.46653,465809
151.46692,-22.46653,465810
151.53358,-22.46653,465811
151.60027,-22.46653,465812
151.66693,-22.46653,465813
151.7336,-22.46653,465814
151.80026,-22.46653,465815
151.86693,-22.46653,465816
151.9336,-22.46653,465817
152.00026,-22.46653,465818
152.06693,-22.46653,465819
152.13359,-22.46653,465820
